model_id,platform_id,model_family,model_version,model_variants,model_architecture,parameters_count,context_window_size,createdAt,updatedAt,model_type,token_limit,model_size,model_size_unit
model_1742674087375_717,platform_1742531573989_961,Kuki,1,,Unknown,,,2025-03-22T20:08:07.375Z,2025-03-22T20:42:22.627Z,AI Model,,,
model_1742674089283_33,platform_1742531573989_454,LangChain,1,,,,,2025-03-22T20:08:09.283Z,2025-03-22T20:42:24.646Z,AI Model,,,
model_1742674091326_279,platform_1742531573990_542,Linguix,1,,Transformer,,,2025-03-22T20:08:11.326Z,2025-03-22T20:42:26.662Z,AI Model,,,
model_1742674093430_582,platform_1742531573991_88,LongShot AI,1,,,,,2025-03-22T20:08:13.430Z,2025-03-22T20:42:28.441Z,AI Model,,,
model_1742674095561_995,platform_1742531573991_148,Lumen5,1,,,,,2025-03-22T20:08:15.561Z,2025-03-22T20:42:30.234Z,AI Model,,,
model_1742674097630_22,platform_1742531573992_329,ManyChat,1,,,,,2025-03-22T20:08:17.630Z,2025-03-22T20:42:32.278Z,AI Model,,,
model_1742674102829_614,platform_1742531573992_958,MarkovML,1,,Transformer,10B,16K,2025-03-22T20:08:22.829Z,2025-03-22T20:08:22.829Z,LLM,8192,10,B
model_1742674102829_34,platform_1742531573992_958,MarkovML,1.1,Instruct,Transformer,12B,32K,2025-03-22T20:08:22.829Z,2025-03-22T20:08:22.829Z,LLM,10000,12,B
model_1742674102829_956,platform_1742531573992_958,MarkovML,1.2,Chat,Transformer,15B,24K,2025-03-22T20:08:22.829Z,2025-03-22T20:08:22.829Z,LLM,12000,15,B
model_1742674102829_422,platform_1742531573992_958,MarkovML,2,Base,Transformer,20B,40K,2025-03-22T20:08:22.829Z,2025-03-22T20:08:22.829Z,LLM,15000,20,B
model_1742674102829_581,platform_1742531573992_958,MarkovML,2.1,Vision,Mixture of Experts,25B,50K,2025-03-22T20:08:22.829Z,2025-03-22T20:08:22.829Z,LLM,20000,25,B
model_1742674104716_138,platform_1742531573993_63,ELIZA,1,,Pattern Matching,,,2025-03-22T20:08:24.716Z,2025-03-22T20:42:39.829Z,AI Model,,,
model_1742674110514_709,platform_1742531573994_603,Copilot by Microsoft,1,,Transformer,175B,8K,2025-03-22T20:08:30.514Z,2025-03-22T20:08:30.514Z,LLM,4096,175,B
model_1742674113057_928,platform_1742531573994_2,Microsoft Copilot,1,,Transformer,,,2025-03-22T20:08:33.057Z,2025-03-22T20:42:42.688Z,AI Model,,,
model_1742674116480_920,platform_1742531573995_841,Mistral,1,,Transformer,7B,8K,2025-03-22T20:08:36.480Z,2025-03-22T20:08:36.480Z,LLM,4096,7,B
model_1742674116480_770,platform_1742531573995_841,Mistral,2,Instruct,Transformer,13B,16K,2025-03-22T20:08:36.480Z,2025-03-22T20:08:36.480Z,LLM,8192,13,B
model_1742674116480_777,platform_1742531573995_841,Mistral,3,Chat,Transformer,20B,32K,2025-03-22T20:08:36.480Z,2025-03-22T20:08:36.480Z,LLM,16384,20,B
model_1742674118549_769,platform_1742531573995_815,Moveworks,1,,Transformer,,,2025-03-22T20:08:38.549Z,2025-03-22T20:42:47.718Z,AI Model,,,
model_1742674120726_371,platform_1742531573996_28,NeuralText,1,,Transformer,1B,8K,2025-03-22T20:08:40.726Z,2025-03-22T20:08:40.726Z,LLM,4096,1,B
model_1742674122835_975,platform_1742531573997_384,Neuroflash,1,,Transformer,,,2025-03-22T20:08:42.835Z,2025-03-22T20:42:50.819Z,AI Model,,,
model_1742674128069_555,platform_1742531573997_498,NVIDIA NeMo Megatron,1,GPT-3,Transformer,530B,,2025-03-22T20:08:48.069Z,2025-03-22T20:42:53.795Z,LLM,,530,B
model_1742674128069_725,platform_1742531573997_498,NVIDIA NeMo,1,BERT,Transformer,345M,,2025-03-22T20:08:48.069Z,2025-03-22T20:42:55.942Z,Embedding,,345,M
model_1742674128069_997,platform_1742531573997_498,NVIDIA StyleGAN,2,,GAN,,,2025-03-22T20:08:48.069Z,2025-03-22T20:42:57.856Z,Image Generation,,,
model_1742674128069_662,platform_1742531573997_498,NVIDIA DALL-E,1,,Transformer,,,2025-03-22T20:08:48.069Z,2025-03-22T20:42:59.641Z,Image Generation,,,
model_1742674128069_135,platform_1742531573997_498,NVIDIA Riva,2,ASR,RNN,,,2025-03-22T20:08:48.069Z,2025-03-22T20:43:01.799Z,Speech Recognition,,,
model_1742674130076_505,platform_1742531573998_634,OctoML,1,,,,,2025-03-22T20:08:50.076Z,2025-03-22T20:43:05.800Z,AI Model,,,
model_1742674132916_101,platform_1742531573998_762,ONNX,1,,,,,2025-03-22T20:08:52.916Z,2025-03-22T20:43:07.791Z,AI Model,,,
model_1742674134948_543,platform_1742531573999_241,OpenNMT,1,,Transformer,,,2025-03-22T20:08:54.948Z,2025-03-22T20:43:10.793Z,AI Model,,,
model_1742674138722_622,platform_1742531573999_948,Oracle AI,1,,,,,2025-03-22T20:08:58.722Z,2025-03-22T20:43:12.786Z,AI Model,,,
model_1742674140569_347,platform_1742531574000_815,Outwrite,1,,Transformer,,,2025-03-22T20:09:00.569Z,2025-03-22T20:43:14.696Z,LLM,,,
model_1742674145119_887,platform_1742531574001_830,PaddlePaddle,1,,Transformer,,,2025-03-22T20:09:05.119Z,2025-03-22T20:43:16.661Z,AI Model,,,
model_1742674145119_648,platform_1742531574001_830,ERNIE,3,Base,Transformer,10B,,2025-03-22T20:09:05.119Z,2025-03-22T20:43:18.730Z,LLM,,10,B
model_1742674145119_415,platform_1742531574001_830,PaddleOCR,2,Detection,CNN,,,2025-03-22T20:09:05.119Z,2025-03-22T20:43:20.673Z,Image Recognition,,,
model_1742674145119_543,platform_1742531574001_830,PaddleGAN,1,Base,GAN,,,2025-03-22T20:09:05.119Z,2025-03-22T20:43:22.680Z,Image Generation,,,
model_1742674145119_606,platform_1742531574001_830,ERNIE,2,Large,Transformer,340M,,2025-03-22T20:09:05.119Z,2025-03-22T20:43:24.569Z,LLM,,340,M
model_1742674146983_722,platform_1742531574001_718,Pandorabots,1,,Unknown,,,2025-03-22T20:09:06.983Z,2025-03-22T20:43:27.467Z,AI Model,,,
model_1742674148864_51,platform_1742531574001_466,Mitsuku,1,,,,,2025-03-22T20:09:08.864Z,2025-03-22T20:43:29.621Z,AI Model,,,
model_1742674151106_123,platform_1742531574002_526,ParagraphAI,1,,Transformer,175B,8K,2025-03-22T20:09:11.106Z,2025-03-22T20:09:11.106Z,LLM,4096,175,B
model_1742674153343_20,platform_1742531574006_723,Pegasystems,1,,,,,2025-03-22T20:09:13.343Z,2025-03-22T20:43:32.549Z,AI Model,,,
model_1742674155720_977,platform_1742531574007_803,Peppertype.ai,1,,Transformer,unknown,,2025-03-22T20:09:15.720Z,2025-03-22T20:43:34.670Z,AI Model,,,
model_1742674157679_668,platform_1742531574007_776,Pictory,1,,,,,2025-03-22T20:09:17.679Z,2025-03-22T20:43:36.565Z,AI Model,,,
model_1742674160282_40,platform_1742531574008_492,Pinecone,1,,,,,2025-03-22T20:09:20.282Z,2025-03-22T20:43:38.597Z,AI Model,,,
model_1742674164208_470,platform_1742531574008_492,GPT,3.5-turbo,Chat,Transformer,175B,16K,2025-03-22T20:09:24.208Z,2025-03-22T20:09:24.208Z,LLM,4096,175,B
model_1742674164208_366,platform_1742531574008_492,GPT,4,Base,Transformer,unknown,8K,2025-03-22T20:09:24.208Z,2025-03-22T20:09:24.208Z,LLM,8192,unknown,B
model_1742674164208_2,platform_1742531574008_492,GPT,4,Vision,Transformer,unknown,32K,2025-03-22T20:09:24.208Z,2025-03-22T20:09:24.208Z,LLM,32768,unknown,B
model_1742674164208_700,platform_1742531574008_492,GPT,4,Instruct,Transformer,unknown,8K,2025-03-22T20:09:24.208Z,2025-03-22T20:09:24.208Z,LLM,8192,unknown,B
model_1742674164208_99,platform_1742531574008_492,GPT,4,Extended,Transformer,unknown,100K,2025-03-22T20:09:24.208Z,2025-03-22T20:09:24.208Z,LLM,100000,unknown,B
model_1742674166408_982,platform_1742531574009_253,Postman,1,,,,,2025-03-22T20:09:26.408Z,2025-03-22T20:43:45.567Z,AI Model,,,
model_1742674168399_729,platform_1742531574010_350,PromptLayer,1,,,,,2025-03-22T20:09:28.399Z,2025-03-22T20:43:47.517Z,AI Model,,,
model_1742674172710_793,platform_1742531574010_17,Promptmetheus,1,,Transformer,10B,8K,2025-03-22T20:09:32.710Z,2025-03-22T20:09:32.710Z,LLM,8192,10,B
model_1742674172710_886,platform_1742531574010_17,Promptmetheus,1.1,Instruct,Transformer,15B,16K,2025-03-22T20:09:32.710Z,2025-03-22T20:09:32.710Z,LLM,16384,15,B
model_1742674172710_826,platform_1742531574010_17,Promptmetheus,1.2,Chat,Transformer,20B,32K,2025-03-22T20:09:32.710Z,2025-03-22T20:09:32.710Z,LLM,32768,20,B
model_1742674172710_511,platform_1742531574010_17,Promptmetheus,1.3,Vision,Transformer,25B,64K,2025-03-22T20:09:32.710Z,2025-03-22T20:09:32.710Z,Multimodal,65536,25,B
model_1742674172710_640,platform_1742531574010_17,Promptmetheus,1.4,Base,Transformer,30B,100K,2025-03-22T20:09:32.710Z,2025-03-22T20:09:32.710Z,LLM,100000,30,B
model_1742674174824_835,platform_1742531574011_866,PromptPerfect,1,,,,,2025-03-22T20:09:34.824Z,2025-03-22T20:43:54.745Z,AI Model,,,
model_1742674177099_405,platform_1742531574012_691,PyTorch,1,,Unknown,,,2025-03-22T20:09:37.099Z,2025-03-22T20:43:56.473Z,AI Model,,,
model_1742674179113_614,platform_1742531574012_455,Quartzite AI,1,,,,,2025-03-22T20:09:39.113Z,2025-03-22T20:43:58.717Z,AI Model,,,
model_1742674184024_578,platform_1742531574013_130,Word2Vec,,,Neural Network,,,2025-03-22T20:09:44.024Z,2025-03-22T20:44:00.589Z,Embedding,,,
model_1742674184024_623,platform_1742531574013_130,Doc2Vec,,,Neural Network,,,2025-03-22T20:09:44.024Z,2025-03-22T20:44:02.447Z,Embedding,,,
model_1742674184024_813,platform_1742531574013_130,FastText,,,Neural Network,,,2025-03-22T20:09:44.024Z,2025-03-22T20:44:04.428Z,Embedding,,,
model_1742674184024_654,platform_1742531574013_130,TF-IDF,,,Statistical,,,2025-03-22T20:09:44.024Z,2025-03-22T20:44:06.381Z,Embedding,,,
model_1742674184024_287,platform_1742531574013_130,LDA,,,Statistical,,,2025-03-22T20:09:44.024Z,2025-03-22T20:44:08.291Z,Topic Modeling,,,
model_1742674186397_189,platform_1742531574014_224,RapidAPI,1,,,,,2025-03-22T20:09:46.397Z,2025-03-22T20:44:10.124Z,AI Model,,,
model_1742674188315_62,platform_1742531574014_763,RapidMiner,1,,,,,2025-03-22T20:09:48.315Z,2025-03-22T20:44:12.092Z,AI Model,,,
model_1742674190249_250,platform_1742531574015_247,Rasa,1,,Transformer,,,2025-03-22T20:09:50.250Z,2025-03-22T20:44:14.067Z,AI Model,,,
model_1742674192321_73,platform_1742531574015_521,Replicate,1,,,,,2025-03-22T20:09:52.321Z,2025-03-22T20:44:15.975Z,AI Model,,,
model_1742674194375_890,platform_1742531574016_382,Replika,1,,Transformer,,,2025-03-22T20:09:54.375Z,2025-03-22T20:44:17.996Z,AI Model,,,
model_1742674196814_576,platform_1742531574016_176,Runway,1,,,,,2025-03-22T20:09:56.814Z,2025-03-22T20:44:20.116Z,AI Model,,,
model_1742674198832_34,platform_1742531574016_398,Runway Gen-2,1,,Transformer,,,2025-03-22T20:09:58.832Z,2025-03-22T20:44:22.250Z,Image Generation,,,
model_1742674201127_886,platform_1742531574017_643,Rytr,1,,Transformer,,,2025-03-22T20:10:01.127Z,2025-03-22T20:44:24.259Z,AI Model,,,
model_1742674203639_665,platform_1742531574017_845,SAS Viya,1,,,,,2025-03-22T20:10:03.639Z,2025-03-22T20:44:26.402Z,AI Model,,,
model_1742674206123_653,platform_1742531574018_445,Sassbook AI,1,,Transformer,,,2025-03-22T20:10:06.123Z,2025-03-22T20:44:28.337Z,LLM,,,
model_1742674207960_809,platform_1742531574019_568,Scalenut,1,,,,,2025-03-22T20:10:07.960Z,2025-03-22T20:44:30.366Z,AI Model,,,
model_1742674210032_148,platform_1742531574019_879,Scikit-learn,1,,,,,2025-03-22T20:10:10.032Z,2025-03-22T20:44:32.353Z,AI Model,,,
model_1742674212824_386,platform_1742531574020_355,Seldon,1,,,,,2025-03-22T20:10:12.824Z,2025-03-22T20:44:34.326Z,AI Model,,,
model_1742674215029_988,platform_1742531574020_335,SEOWind,1,,Transformer,1B,8K,2025-03-22T20:10:15.029Z,2025-03-22T20:10:15.029Z,LLM,4096,1,B
model_1742674217142_597,platform_1742531574021_982,Simplified AI,1,,,,,2025-03-22T20:10:17.142Z,2025-03-22T20:44:37.283Z,AI Model,,,
model_1742674219731_3,platform_1742531574021_136,Smartwriter.ai,1,,Transformer,,,2025-03-22T20:10:19.731Z,2025-03-22T20:44:39.123Z,AI Model,,,
model_1742674222064_654,platform_1742531574022_663,Snapy AI,1,,Transformer,1B,8K,2025-03-22T20:10:22.064Z,2025-03-22T20:10:22.064Z,AI Model,4096,1,B
model_1742674223989_616,platform_1742531574022_803,Snazzy AI,1,,Transformer,,,2025-03-22T20:10:23.989Z,2025-03-22T20:44:42.066Z,AI Model,,,
model_1742674226040_285,platform_1742531574023_576,Snowflake AI,1,,,,,2025-03-22T20:10:26.040Z,2025-03-22T20:44:44.250Z,AI Model,,,
model_1742674228144_415,platform_1742531574024_874,Soundraw,1,,,,,2025-03-22T20:10:28.144Z,2025-03-22T20:44:46.425Z,AI Model,,,
model_1742674233035_724,platform_1742531574024_430,Stable Diffusion,1,,Diffusion Model,890M,,2025-03-22T20:10:33.035Z,2025-03-22T20:44:48.433Z,Image Generation,,890,M
model_1742674233035_920,platform_1742531574024_430,Stable Diffusion,2,Inpainting,Diffusion Model,1.5B,,2025-03-22T20:10:33.035Z,2025-03-22T20:44:50.463Z,Image Generation,,1.5,B
model_1742674233035_478,platform_1742531574024_430,Stable Diffusion,2.1,Base,Diffusion Model,1.5B,,2025-03-22T20:10:33.035Z,2025-03-22T20:44:52.372Z,Image Generation,,1.5,B
model_1742674233035_973,platform_1742531574024_430,Stable Diffusion,XL,,Diffusion Model,2.3B,,2025-03-22T20:10:33.035Z,2025-03-22T20:44:54.465Z,Image Generation,,2.3,B
model_1742674233035_614,platform_1742531574024_430,Stable Diffusion,3,,Diffusion Model,2.5B,,2025-03-22T20:10:33.035Z,2025-03-22T20:44:56.358Z,Image Generation,,2.5,B
model_1742674235099_749,platform_1742531574025_408,Sudowrite,1,,,,,2025-03-22T20:10:35.099Z,2025-03-22T20:44:58.241Z,AI Model,,,
model_1742674238327_143,platform_1742531574025_537,Surfer AI,1,,Transformer,,,2025-03-22T20:10:38.327Z,2025-03-22T20:45:00.582Z,AI Model,,,
model_1742674240384_787,platform_1742531574026_52,Synthesia,1,,Transformer,,,2025-03-22T20:10:40.384Z,2025-03-22T20:45:02.588Z,AI Model,,,
model_1742674242838_51,platform_1742531574027_243,Synthesys,1,,,,,2025-03-22T20:10:42.838Z,2025-03-22T20:45:04.820Z,AI Model,,,
model_1742674246941_611,platform_1742531574027_828,TensorFlow,1,,Neural Network,,,2025-03-22T20:10:46.941Z,2025-03-22T20:45:06.910Z,AI Model,,,
model_1742674246941_550,platform_1742531574027_828,TensorFlow,2,Lite,Neural Network,,,2025-03-22T20:10:46.941Z,2025-03-22T20:45:08.854Z,AI Model,,,
model_1742674246941_152,platform_1742531574027_828,TensorFlow,2,Extended,Neural Network,,,2025-03-22T20:10:46.941Z,2025-03-22T20:45:11.093Z,AI Model,,,
model_1742674246941_852,platform_1742531574027_828,TensorFlow,2,Quantum,Quantum Neural Network,,,2025-03-22T20:10:46.941Z,2025-03-22T20:45:12.997Z,AI Model,,,
model_1742674246941_166,platform_1742531574027_828,TensorFlow,3,,Neural Network,,,2025-03-22T20:10:46.941Z,2025-03-22T20:45:14.797Z,AI Model,,,
model_1742674249130_498,platform_1742531574028_415,Tome AI,1,,Transformer,1B,8K,2025-03-22T20:10:49.130Z,2025-03-22T20:10:49.130Z,AI Model,4000,1,B
model_1742674251112_655,platform_1742531574029_913,Tyk API Gateway,1,,,,,2025-03-22T20:10:51.112Z,2025-03-22T20:45:17.673Z,AI Model,,,
model_1742674253163_828,platform_1742531574029_84,UiPath,1,,,,,2025-03-22T20:10:53.163Z,2025-03-22T20:45:19.824Z,AI Model,,,
model_1742674254731_148,platform_1742531574030_509,V7 Labs,1,,,,,2025-03-22T20:10:54.731Z,2025-03-22T20:45:22.090Z,AI Model,,,
model_1742674257507_94,platform_1742531574030_184,Weights & Biases,1,,,,,2025-03-22T20:10:57.507Z,2025-03-22T20:45:24.341Z,AI Model,,,
model_1742674260079_286,platform_1742531574031_704,Wipro HOLMES,1,,Transformer,,,2025-03-22T20:11:00.079Z,2025-03-22T20:45:26.355Z,AI Model,,,
model_1742674262392_484,platform_1742531574031_937,Woebot,1,,Transformer,,,2025-03-22T20:11:02.392Z,2025-03-22T20:45:28.264Z,AI Model,,,
model_1742674264471_946,platform_1742531574032_745,WordHero,1,,Transformer,null,null,2025-03-22T20:11:04.471Z,2025-03-22T20:11:04.471Z,LLM,null,null,null
model_1742674266537_411,platform_1742531574033_333,Wordtune,1,,Transformer,,,2025-03-22T20:11:06.537Z,2025-03-22T20:45:31.120Z,LLM,,,
model_1742674269228_694,platform_1742531574033_857,Writecream,1,,Transformer,1B,8K,2025-03-22T20:11:09.228Z,2025-03-22T20:11:09.228Z,LLM,4096,1,B
model_1742674271283_899,platform_1742531574034_853,Writer,1,,Transformer,1B,8K,2025-03-22T20:11:11.283Z,2025-03-22T20:11:11.283Z,LLM,4096,1,B
model_1742674273499_612,platform_1742531574035_575,Writerly,1,,Transformer,3B,8K,2025-03-22T20:11:13.499Z,2025-03-22T20:11:13.499Z,LLM,4096,3,B
model_1742674275677_75,platform_1742531574035_562,ChatSonic,1,Chat,Transformer,,,2025-03-22T20:11:15.677Z,2025-03-22T20:45:36.088Z,LLM,,,
model_1742674277755_835,platform_1742531574036_463,Yellow.ai,1,,,,,2025-03-22T20:11:17.755Z,2025-03-22T20:45:38.117Z,AI Model,,,
model_1742674279630_307,platform_1742531574036_257,YouWrite by You.com,1,,Transformer,,,2025-03-22T20:11:19.630Z,2025-03-22T20:45:40.365Z,LLM,,,
model_1742674281975_878,platform_1742531574037_236,Zyro AI,1,,Transformer,1B,4K,2025-03-22T20:11:21.975Z,2025-03-22T20:11:21.975Z,AI Model,4096,1,B
model_1742674284712_242,platform_1742531574037_983,Sourcegraph Cody,1,,Transformer,175B,100K,2025-03-22T20:11:24.712Z,2025-03-22T20:11:24.712Z,LLM,8192,175,B
model_1742674288242_219,platform_1742531574038_353,AdEspresso,1,,,,,2025-03-22T20:11:28.242Z,2025-03-22T20:45:44.353Z,AI Model,,,
model_1742674290329_347,platform_1742531574039_894,Adon AI,1,,,,,2025-03-22T20:11:30.329Z,2025-03-22T20:45:46.404Z,AI Model,,,
model_1742674292264_987,platform_1742531574039_889,Google Display Network,1,,,,,2025-03-22T20:11:32.264Z,2025-03-22T20:45:48.295Z,AI Model,,,
model_1742674294334_437,platform_1742531574039_570,Bing Ads,1,,,,,2025-03-22T20:11:34.334Z,2025-03-22T20:45:50.353Z,AI Model,,,
model_1742674296284_785,platform_1742531574039_58,Amazon Advertising,1,,Transformer,,,2025-03-22T20:11:36.284Z,2025-03-22T20:45:52.149Z,AI Model,,,
model_1742674298572_280,platform_1742531574040_884,Agorapulse,1,,,,,2025-03-22T20:11:38.572Z,2025-03-22T20:45:54.210Z,AI Model,,,
model_1742674300777_417,platform_1742531574040_911,Ahrefs,1,,Transformer,,,2025-03-22T20:11:40.777Z,2025-03-22T20:45:56.237Z,AI Model,,,
model_1742674305131_373,platform_1742531574041_125,Llama,2,Base,Transformer,70B,4K,2025-03-22T20:11:45.131Z,2025-03-22T20:11:45.131Z,LLM,4096,70,B
model_1742674305131_430,platform_1742531574041_125,Llama,2,Chat,Transformer,13B,4K,2025-03-22T20:11:45.131Z,2025-03-22T20:11:45.131Z,LLM,4096,13,B
model_1742674305131_640,platform_1742531574041_125,Llama,1,Base,Transformer,7B,4K,2025-03-22T20:11:45.131Z,2025-03-22T20:11:45.131Z,LLM,4096,7,B
model_1742674305131_560,platform_1742531574041_125,Llama,1,Chat,Transformer,13B,4K,2025-03-22T20:11:45.131Z,2025-03-22T20:11:45.131Z,LLM,4096,13,B
model_1742674305131_523,platform_1742531574041_125,Llama,2,Instruct,Transformer,70B,4K,2025-03-22T20:11:45.131Z,2025-03-22T20:11:45.131Z,LLM,4096,70,B
model_1742674307003_108,platform_1742531574041_316,Make-A-Scene,1,,Transformer,,,2025-03-22T20:11:47.003Z,2025-03-22T20:46:03.380Z,Image Generation,,,
model_1742674310895_625,platform_1742531574042_612,LLaMA,1,,Transformer,7B,,2025-03-22T20:11:50.895Z,2025-03-22T20:46:05.945Z,LLM,,7,B
model_1742674310895_943,platform_1742531574042_612,LLaMA,1,,Transformer,13B,,2025-03-22T20:11:50.895Z,2025-03-22T20:46:07.765Z,LLM,,13,B
model_1742674310895_737,platform_1742531574042_612,LLaMA,1,,Transformer,30B,,2025-03-22T20:11:50.895Z,2025-03-22T20:46:09.782Z,LLM,,30,B
model_1742674310895_574,platform_1742531574042_612,LLaMA,1,,Transformer,65B,,2025-03-22T20:11:50.895Z,2025-03-22T20:46:11.891Z,LLM,,65,B
model_1742674310895_598,platform_1742531574042_612,LLaMA,1,,Transformer,70B,,2025-03-22T20:11:50.895Z,2025-03-22T20:46:13.697Z,LLM,,70,B
model_1742674315793_6,platform_1742531574042_511,Llama,2,Base,Transformer,7B,4K,2025-03-22T20:11:55.793Z,2025-03-22T20:11:55.793Z,LLM,4096,7,B
model_1742674315793_991,platform_1742531574042_511,Llama,2,Base,Transformer,13B,4K,2025-03-22T20:11:55.793Z,2025-03-22T20:11:55.793Z,LLM,4096,13,B
model_1742674315793_862,platform_1742531574042_511,Llama,2,Base,Transformer,70B,4K,2025-03-22T20:11:55.793Z,2025-03-22T20:11:55.793Z,LLM,4096,70,B
model_1742674315793_928,platform_1742531574042_511,Llama,2,Chat,Transformer,13B,4K,2025-03-22T20:11:55.793Z,2025-03-22T20:11:55.793Z,LLM,4096,13,B
model_1742674315793_333,platform_1742531574042_511,Llama,2,Chat,Transformer,70B,4K,2025-03-22T20:11:55.793Z,2025-03-22T20:11:55.793Z,LLM,4096,70,B
model_1742674318760_36,platform_1742531574043_807,Llama,2,Base,Transformer,7B,4096,2025-03-22T20:11:58.760Z,2025-03-22T20:11:58.760Z,LLM,4096,7,B
model_1742674318760_696,platform_1742531574043_807,Llama,2,Base,Transformer,13B,4096,2025-03-22T20:11:58.760Z,2025-03-22T20:11:58.760Z,LLM,4096,13,B
model_1742674318760_916,platform_1742531574043_807,Llama,2,Base,Transformer,70B,4096,2025-03-22T20:11:58.760Z,2025-03-22T20:11:58.760Z,LLM,4096,70,B
model_1742674320848_580,platform_1742531574043_12,AICaller.io,1,,,,,2025-03-22T20:12:00.848Z,2025-03-22T20:46:23.677Z,AI Model,,,
model_1742674326089_898,platform_1742531574044_319,AICamp,1,,Transformer,1B,8K,2025-03-22T20:12:06.089Z,2025-03-22T20:12:06.089Z,LLM,4096,1,B
model_1742674326089_777,platform_1742531574044_319,AICamp,1.1,Instruct,Transformer,2B,16K,2025-03-22T20:12:06.089Z,2025-03-22T20:12:06.089Z,LLM,8192,2,B
model_1742674326089_72,platform_1742531574044_319,AICamp,1.1,Chat,Transformer,2B,16K,2025-03-22T20:12:06.089Z,2025-03-22T20:12:06.089Z,LLM,8192,2,B
model_1742674326089_590,platform_1742531574044_319,AICamp,1.2,Vision,Transformer,3B,32K,2025-03-22T20:12:06.089Z,2025-03-22T20:12:06.089Z,Image Generation,8192,3,B
model_1742674326089_775,platform_1742531574044_319,AICamp,1.2,Base,Transformer,3B,32K,2025-03-22T20:12:06.089Z,2025-03-22T20:12:06.089Z,LLM,8192,3,B
model_1742674327976_531,platform_1742531574045_103,AI-Flow,1,,,,,2025-03-22T20:12:07.976Z,2025-03-22T20:46:31.513Z,AI Model,,,
model_1742674329883_527,platform_1742531574045_476,aiPDF,1,,,,,2025-03-22T20:12:09.883Z,2025-03-22T20:46:33.553Z,AI Model,,,
model_1742674331917_506,platform_1742531574046_153,Airtable,1,,,,,2025-03-22T20:12:11.917Z,2025-03-22T20:46:35.523Z,AI Model,,,
model_1742674334107_737,platform_1742531574046_605,AISaver,1,,Transformer,1B,4K,2025-03-22T20:12:14.107Z,2025-03-22T20:12:14.107Z,LLM,4096,1,B
model_1742674336175_41,platform_1742531574047_52,Aispect,1,,Transformer,Unknown,Unknown,2025-03-22T20:12:16.175Z,2025-03-22T20:46:38.670Z,AI Model,Unknown,Unknown,
model_1742674340575_954,platform_1742531574047_578,Google AI Studio,1,,Transformer,11B,8K,2025-03-22T20:12:20.575Z,2025-03-22T20:12:20.575Z,LLM,4096,11,B
model_1742674340575_32,platform_1742531574047_578,Google AI Studio,1.1,Instruct,Transformer,13B,16K,2025-03-22T20:12:20.575Z,2025-03-22T20:12:20.575Z,LLM,8192,13,B
model_1742674340575_742,platform_1742531574047_578,Google AI Studio,2,Chat,Transformer,20B,32K,2025-03-22T20:12:20.575Z,2025-03-22T20:12:20.575Z,LLM,16000,20,B
model_1742674340575_944,platform_1742531574047_578,Google AI Studio,2.1,Vision,Transformer,22B,32K,2025-03-22T20:12:20.575Z,2025-03-22T20:12:20.575Z,Image Generation,16000,22,B
model_1742674340575_318,platform_1742531574047_578,Google AI Studio,3,Base,Transformer,25B,64K,2025-03-22T20:12:20.575Z,2025-03-22T20:12:20.575Z,LLM,32000,25,B
model_1742674342585_203,platform_1742531574048_452,AITO AI,1,,,,,2025-03-22T20:12:22.585Z,2025-03-22T20:46:47.912Z,AI Model,,,
model_1742674344627_582,platform_1742531574048_84,AI Watermark Remover,1,,,,,2025-03-22T20:12:24.628Z,2025-03-22T20:46:53.105Z,AI Model,,,
model_1742674346695_698,platform_1742531574049_893,AI Wedding Toast,1,,Transformer,7B,8K,2025-03-22T20:12:26.695Z,2025-03-22T20:12:26.695Z,LLM,4096,7,B
model_1742674348555_716,platform_1742531574049_95,AI-Writer,1,,Transformer,,,2025-03-22T20:12:28.555Z,2025-03-22T20:46:55.879Z,LLM,,,
model_1742674350585_312,platform_1742531574050_740,Ajelix,1,,Transformer,1B,8K,2025-03-22T20:12:30.585Z,2025-03-22T20:12:30.585Z,AI Model,4096,1,B
model_1742674353023_387,platform_1742531574050_97,BERT,1,,Transformer,110M,512,2025-03-22T20:12:33.023Z,2025-03-22T20:12:33.023Z,LLM,512,0.11,B
model_1742674354698_735,platform_1742531574051_339,Google Analytics,1,,,,,2025-03-22T20:12:34.698Z,2025-03-22T20:46:59.976Z,AI Model,,,
model_1742674356539_610,platform_1742531574051_376,Animoto,1,,,,,2025-03-22T20:12:36.539Z,2025-03-22T20:47:01.864Z,AI Model,,,
model_1742674358610_232,platform_1742531574052_930,AnkiDecks AI,1,,,,,2025-03-22T20:12:38.610Z,2025-03-22T20:47:03.896Z,AI Model,,,
model_1742674360504_358,platform_1742531574052_929,Phygital,1,,,,,2025-03-22T20:12:40.504Z,2025-03-22T20:47:06.090Z,AI Model,,,
model_1742674362939_621,platform_1742531574053_663,Architecture Helper,1,,Transformer,1B,8K,2025-03-22T20:12:42.939Z,2025-03-22T20:12:42.939Z,AI Model,4096,1,B
model_1742674364992_415,platform_1742531574054_755,Arize AI,1,,,,,2025-03-22T20:12:44.992Z,2025-03-22T20:47:09.399Z,AI Model,,,
model_1742674367213_866,platform_1742531574054_418,Asana,1,,,,,2025-03-22T20:12:47.213Z,2025-03-22T20:47:11.423Z,AI Model,,,
